name;0.4.26;0.4.26opt;0.5.17;0.5.17opt;0.6.12;0.6.12opt;0.7.6;0.7.6opt;0.8.24;0.8.24opt
int216ufsub;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;52656145834278593348959013841835216159447547700274555627155488767;revert;revert
int216ofdivminusone;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;-52656145834278593348959013841835216159447547700274555627155488768;revert;revert
int216divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int216divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int216modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int216truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int216truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int216assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int216assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int224ofpp;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;revert;revert
int224ofpe;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;revert;revert
int224ofadd;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;revert;revert
int224ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int224ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int224ofexp;Compiler Error;Compiler Error;Compiler Error;Compiler Error;1;1;1;1;revert;revert
int224ufmm;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;revert;revert
int224ufme;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;revert;revert
int224ufsub;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;13479973333575319897333507543509815336818572211270286240551805124607;revert;revert
int224ofdivminusone;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;-13479973333575319897333507543509815336818572211270286240551805124608;revert;revert
int224divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int224divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int224modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int224truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int224truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int224assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int224assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int232ofpp;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;revert;revert
int232ofpe;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;revert;revert
int232ofadd;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;revert;revert
int232ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int232ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int232ofexp;Compiler Error;Compiler Error;Compiler Error;Compiler Error;1;1;1;1;revert;revert
int232ufmm;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;revert;revert
int232ufme;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;revert;revert
int232ufsub;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;3450873173395281893717377931138512726225554486085193277581262111899647;revert;revert
int232ofdivminusone;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;-3450873173395281893717377931138512726225554486085193277581262111899648;revert;revert
int232divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int232divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int232modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int232truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int232truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int232assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int232assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int240ofpp;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;revert;revert
int240ofpe;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;revert;revert
int240ofadd;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;revert;revert
int240ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int240ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int240ofexp;Compiler Error;Compiler Error;Compiler Error;Compiler Error;1;1;1;1;revert;revert
int240ufmm;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;revert;revert
int240ufme;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;revert;revert
int240ufsub;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;883423532389192164791648750371459257913741948437809479060803100646309887;revert;revert
int240ofdivminusone;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;-883423532389192164791648750371459257913741948437809479060803100646309888;revert;revert
int240divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int240divzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240divzerose;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240divzerosevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240modzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
int240modzerovariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240modzerope;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240modzeropevariable;revert;revert;revert;revert;revert;revert;revert;revert;revert;revert
int240truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int240truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int240assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int240assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int248ofpp;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;revert;revert
int248ofpe;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;revert;revert
int248ofadd;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;revert;revert
int248ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int248ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int248ofexp;Compiler Error;Compiler Error;Compiler Error;Compiler Error;1;1;1;1;revert;revert
int248ufmm;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;revert;revert
int248ufme;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;revert;revert
int248ufsub;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;226156424291633194186662080095093570025917938800079226639565593765455331327;revert;revert
int248ofdivminusone;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;-226156424291633194186662080095093570025917938800079226639565593765455331328;revert;revert
int248divzero;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error;Compiler Error
