name;0.4.26;0.4.26opt;0.5.17;0.5.17opt;0.6.12;0.6.12opt;0.7.6;0.7.6opt;0.8.24;0.8.24opt
int184truncinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int184truncvariable;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
int184assignmentinline;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int184assignmentvariable;-1;-1;-1;-1;-1;-1;-1;-1;Compiler Error;Compiler Error
int192ofpp;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;revert;revert
int192ofpe;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;revert;revert
int192ofadd;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;-3138550867693340381917894711603833208051177722232017256448;revert;revert
int192ofte;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int192ofmul;-2;-2;-2;-2;-2;-2;-2;-2;revert;revert
int192ofexp;Compiler Error;Compiler Error;Compiler Error;Compiler Error;1;1;1;1;revert;revert
int192ufmm;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;revert;revert
int192ufme;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;revert;revert
int192ufsub;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;3138550867693340381917894711603833208051177722232017256447;revert;revert
